Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Revenue,Earnings
2012-02-15,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-16,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-02,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-27,,,,,,,,4.444444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-15,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-06,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-11,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-17,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-27,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-31,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-07,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-11,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-21,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-25,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-24,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,,,,,,,,3.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,,,,,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-14,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-17,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-22,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-26,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-02,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-09,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-26,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-11,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-19,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-18,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-22,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-25,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-28,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-14,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-17,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-03,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,,,,,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-12,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-25,,,,,,,,4.142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-26,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-22,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-25,,,,,,,,3.4444444444444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-10,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-13,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-24,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-27,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-29,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,,,,,,,,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24,,,,,,,,4.142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-29,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-27,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-27,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-08,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-09,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-15,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-22,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-19,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-29,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-18,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-29,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-02,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-22,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-29,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-07,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-29,,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-03,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-10,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-16,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-23,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-21,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-25,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-29,,,,,,,,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-02,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-22,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-27,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-29,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-05,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-17,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-23,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-28,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-20,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-28,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-04,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-10,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-20,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-24,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-25,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-28,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-18,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-20,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-06,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-13,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-24,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-27,,,,,,,,4.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-30,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-20,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-04,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-06,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,,,,,,,4.0,3371000000.0,21389000000.0,103601000000.0,27709000000.0,8565000000.0,131310000000.0,5000000.0,1329000000.0,8636000000.0,7792000000.0,13350000000.0,-2321000000.0,5085000000.0,20522000000.0,57883000000.0,100000000.0,-484000000.0,48866000000.0,60197000000.0,441000000.0,10988000000.0,10464000000.0,11835000000.0,24743000000.0,16047000000.0,34616000000.0,177866000000.0,3033000000.0
2018-01-05,,,,,,,,5.0,3371000000.0,21389000000.0,103601000000.0,27709000000.0,8565000000.0,131310000000.0,5000000.0,1329000000.0,8636000000.0,7792000000.0,13350000000.0,-2321000000.0,5085000000.0,20522000000.0,57883000000.0,100000000.0,-484000000.0,48866000000.0,60197000000.0,441000000.0,10988000000.0,10464000000.0,11835000000.0,24743000000.0,16047000000.0,34616000000.0,177866000000.0,3033000000.0
2018-01-23,,,,,,,,5.0,3371000000.0,21389000000.0,103601000000.0,27709000000.0,8565000000.0,131310000000.0,5000000.0,1329000000.0,8636000000.0,7792000000.0,13350000000.0,-2321000000.0,5085000000.0,20522000000.0,57883000000.0,100000000.0,-484000000.0,48866000000.0,60197000000.0,441000000.0,10988000000.0,10464000000.0,11835000000.0,24743000000.0,16047000000.0,34616000000.0,177866000000.0,3033000000.0
2018-01-26,,,,,,,,4.0,3371000000.0,21389000000.0,103601000000.0,27709000000.0,8565000000.0,131310000000.0,5000000.0,1329000000.0,8636000000.0,7792000000.0,13350000000.0,-2321000000.0,5085000000.0,20522000000.0,57883000000.0,100000000.0,-484000000.0,48866000000.0,60197000000.0,441000000.0,10988000000.0,10464000000.0,11835000000.0,24743000000.0,16047000000.0,34616000000.0,177866000000.0,3033000000.0
2018-02-02,,,,,,,,4.166666666666667,3371000000.0,21389000000.0,103601000000.0,27709000000.0,8565000000.0,131310000000.0,5000000.0,1329000000.0,8636000000.0,7792000000.0,13350000000.0,-2321000000.0,5085000000.0,20522000000.0,57883000000.0,100000000.0,-484000000.0,48866000000.0,60197000000.0,441000000.0,10988000000.0,10464000000.0,11835000000.0,24743000000.0,16047000000.0,34616000000.0,177866000000.0,3033000000.0
2018-02-05,,,,,,,,5.0,3371000000.0,21389000000.0,103601000000.0,27709000000.0,8565000000.0,131310000000.0,5000000.0,1329000000.0,8636000000.0,7792000000.0,13350000000.0,-2321000000.0,5085000000.0,20522000000.0,57883000000.0,100000000.0,-484000000.0,48866000000.0,60197000000.0,441000000.0,10988000000.0,10464000000.0,11835000000.0,24743000000.0,16047000000.0,34616000000.0,177866000000.0,3033000000.0
